feature,class_label
"[ 23.663893    -9.786367   -52.270542    17.982834   -11.729639
  14.922446     5.579149   -13.7898655    9.540688    -7.289213
  -1.1849179   12.56559     -3.6962652    0.38267675  -4.34951
   8.964327     3.3078597  -12.048221     2.9086952    6.8001494
  -6.543606     0.4945783    2.012112     0.62159264  -2.4708288
   2.3159187   -3.5331786   -0.6838709    4.366366     0.94591045
  -3.785751     3.5403605   -0.32195598  -1.5110888    0.12508902
  -0.48463917  -2.6696272    1.622211    -2.3248603    2.6849434 ]",0
"[-2.1815880e+02  1.0274363e+02 -4.0477219e+01  1.3990972e+01
 -5.1864848e+00  6.8719492e+00  1.0047099e+01 -6.3994417e+00
  6.1415172e+00  5.2544994e+00 -8.2456522e+00  1.4271495e+00
  6.4892817e+00 -1.5298769e+00 -2.3525357e+00  4.5068631e+00
  2.3754947e+00  5.4131418e-01  1.5116789e+00 -2.8299272e-01
 -3.1662121e+00 -5.0922555e-01  2.5820317e+00  2.9551980e+00
  2.6625571e+00  8.2032280e+00  1.6619004e+00 -3.3578765e+00
  1.8200632e+00  1.7628305e-01 -2.1858406e+00  8.7162441e-01
 -1.8223723e+00  6.0664099e-01 -1.3780881e-01 -2.2036018e+00
  3.3810601e-01 -1.2717368e-01 -2.2079406e+00  6.0720032e-01]",1
"[-2.3759285e+02  1.2792306e+02 -3.1914871e+01 -5.7322998e+00
 -5.4695792e+00  5.6485696e+00 -4.7805548e-01 -7.7542958e+00
  2.2686706e+00  6.8562355e+00  1.8079340e+00  1.3959193e+00
  7.7579159e-01  1.8896961e+00  7.5756896e-01 -2.1560402e-01
 -6.9407898e-01  2.1768725e+00  6.6538467e+00 -1.1539612e+00
 -9.5642853e+00 -3.6311660e+00  7.3332822e-01 -1.5705287e+00
 -6.9270289e-01  4.7033291e+00  4.0334611e+00  1.3621403e+00
  4.4175811e+00  3.2073050e+00 -9.6751684e-01  2.9644988e-02
 -2.6990619e+00 -1.3013941e+00  1.9392555e+00 -1.1590766e+00
 -1.8218983e+00 -7.8757185e-01 -2.0013189e+00 -6.6074073e-01]",1
"[-1.5674158e+02  9.6198456e+01 -3.8467056e+01  2.3129785e+00
 -3.0886028e+00  3.2225192e+00  5.5008131e-01 -9.7023706e+00
  4.5414205e+00  9.3549786e+00 -1.5421079e+00  8.7047266e-03
  2.4732788e+00  2.1974740e+00 -9.4771993e-01 -1.9164596e+00
 -1.9889873e+00  4.4500124e-01  3.8823073e+00  1.6717280e+00
 -4.3416982e+00 -2.1254349e+00 -2.6075229e-01  9.3389916e-01
  2.0217133e+00  5.3259411e+00  2.1690965e+00 -4.2965588e-01
  2.5569236e+00  1.7697817e+00 -2.4475114e+00  8.9318472e-01
 -1.2510947e+00 -1.1067306e+00  9.4395113e-01 -1.5448179e+00
 -1.7709916e+00  3.7990579e-01 -2.3408462e-01  1.4690574e+00]",1
"[-2.18809525e+02  9.95052567e+01 -5.80317574e+01  2.20714951e+01
 -3.03843713e+00  7.40310574e+00  9.15101337e+00 -1.57763605e+01
  1.10517492e+01  9.92761612e+00 -1.08417120e+01  3.44442010e+00
  7.18197298e+00 -1.18542576e+00 -1.18866667e-01  7.03311682e-01
 -1.57809055e+00  2.49536991e+00  3.77388525e+00 -2.63710260e+00
 -5.24572897e+00  1.57705772e+00  7.23293877e+00  6.02240600e-02
 -2.85478905e-02  8.57831764e+00 -4.50699377e+00 -8.59896183e+00
  3.43620205e+00 -7.15199172e-01 -1.66603100e+00  3.65515447e+00
 -2.02706313e+00 -7.85447121e-01  1.75483608e+00 -2.05467725e+00
 -1.74456283e-01  8.07611048e-01 -2.31283307e+00 -1.20790327e+00]",1
"[-2.9441559e+02  9.2589867e+01 -6.7529187e+00  1.6251709e+01
  4.4426527e+00  1.4391471e+01  5.0891237e+00 -5.0388331e+00
  3.8921192e+00  5.8683605e+00 -3.4156859e+00  5.2152362e+00
  4.0776443e+00 -1.4465978e+00  2.5439218e-01  3.4125012e-01
 -2.1142678e+00  6.7987144e-01 -9.7150899e-02 -2.6599128e+00
 -3.9519370e+00 -3.9849900e-02  1.6475496e+00 -7.0570661e-03
 -3.7783113e-01  2.0730317e+00 -1.1556053e+00 -2.4339914e+00
 -4.4591013e-01  1.2459105e+00 -3.4296063e-01 -2.8952071e-01
 -4.4320634e-01 -1.5395056e-01 -3.4507822e-02  3.0675119e-01
 -6.9979988e-02 -2.5717378e-01 -2.0021482e+00 -2.0988822e+00]",1
"[-2.2783597e+02  8.3384666e+01 -2.6475996e+01  1.2246747e+01
  6.0252171e+00  1.3649910e+01  4.7205224e+00 -4.8236675e+00
  1.4716398e+00  6.1883750e+00 -2.1528304e+00  6.4500895e+00
  4.5240426e+00 -2.0155451e+00 -2.4448528e+00  9.9457169e-01
 -2.9166963e+00  1.0740846e+00  7.6861465e-01 -4.8663759e-01
 -2.9252346e+00  1.1081611e+00  4.5693746e+00  3.0401630e+00
 -8.0596548e-01  3.5258677e+00 -2.0052426e+00 -3.9444764e+00
 -5.8478558e-01  2.7320278e+00  5.5542510e-02  6.2099719e-01
 -1.7990458e+00 -9.6832359e-01 -5.4789877e-01  1.5345812e+00
 -8.5897520e-02 -6.8434811e-01 -2.8615944e+00 -2.1195564e+00]",1
"[-1.7916129e+02  9.9821701e+01 -7.3253670e+01  2.5978056e+01
 -8.8560848e+00 -7.7111955e+00  6.2505903e+00 -4.7362471e+00
  1.1065831e+01  7.7939706e+00 -4.7101769e+00  3.8414388e+00
  4.2409186e+00 -2.9364586e+00 -5.4070342e-01  6.2495327e+00
  1.0247716e-02 -9.8550659e-01  3.8840568e+00 -8.8221771e-01
 -6.9499745e+00 -4.0892458e+00  1.8969233e+00  1.7427937e+00
 -9.8645467e-01  1.1359752e+01  7.0527444e+00 -2.1810241e+00
  4.2166514e+00  5.4010576e-01 -2.1759198e+00  5.0126565e-01
 -4.2037039e+00  2.6213172e-01  2.7061162e+00 -5.7118271e-02
 -2.7517865e+00 -3.8560145e+00 -1.6311677e+00  7.8518403e-01]",1
"[-1.6306613e+02  8.8878479e+01 -5.5882404e+01  8.0753450e+00
  5.9824491e-01  1.2983842e+01  3.9810922e+00 -1.6700891e+01
  4.3359022e+00  1.2757529e+01 -2.9357035e+00  9.5891256e+00
  8.0673580e+00 -2.3458641e+00 -2.0580530e+00  9.6019894e-02
 -3.0102327e+00  3.9706221e+00  3.4232116e+00 -2.2015605e+00
 -3.0140667e+00  3.3450811e+00  4.9200525e+00  3.3403327e+00
 -9.1110833e-02  5.7005863e+00  2.8607106e-01 -7.4944453e+00
 -1.6165180e+00  3.3273578e+00 -1.9372326e-01  1.7879634e+00
 -1.9405344e+00 -1.5285809e+00  1.1615821e+00 -1.1815810e-01
 -1.2413456e+00 -4.7712702e-02 -1.3408695e+00 -4.0336636e-01]",1
"[-2.2496098e+02  8.4990372e+01 -2.8884089e+01  1.2845913e+01
  4.5074120e+00  1.2620900e+01  2.6418409e+00 -7.3816552e+00
  1.6766754e+00  8.2494249e+00 -3.0685525e+00  5.5487881e+00
  4.8224325e+00 -6.7835057e-01 -2.2582202e+00 -6.3049847e-01
 -3.4326656e+00  2.5667908e+00  7.0567483e-01 -1.0065981e+00
 -3.6128535e+00  4.7023085e-01  3.9342830e+00  2.8100255e+00
 -1.0846560e+00  4.8423657e+00 -7.7602214e-01 -3.8459196e+00
 -5.2773160e-01  3.0429819e+00  6.6806406e-02  1.6608198e+00
 -1.8708063e+00 -6.8095762e-01  1.6109154e-01  1.3176553e+00
 -1.0835540e+00  1.5114793e-02 -2.2302861e+00 -1.3091112e+00]",1
"[-2.3535623e+02  8.5609856e+01 -1.8695522e+01  1.1694700e+01
  9.6777010e-01  1.2272754e+01  5.4038949e+00 -6.1565766e+00
  3.4640884e+00  1.0448426e+01 -4.2645483e+00  1.0773211e+00
  4.1274691e+00  2.3668499e+00 -8.3738810e-01 -1.8898051e+00
 -3.7348228e+00  1.2115766e+00  1.8474637e+00  1.0772463e+00
 -3.4211953e+00  1.4047838e+00  3.4553638e+00  1.1623379e+00
 -9.1585147e-01  2.3665991e+00 -6.8623573e-01 -2.4969714e+00
 -1.5294722e+00  1.9002144e+00 -1.2620478e+00  8.0150813e-01
 -3.1750974e-01 -5.8128326e-03  1.1262970e+00  7.4725604e-01
 -2.0123923e+00 -1.1010486e+00 -2.1201348e+00 -4.0881994e-01]",1
